"View Detail","Federal Fiscal Year","CCMP Action","Project Name","Describe Activities Funded","Role Description","Admin Op","Public Ed","Reporting Year","Land Acq","Non Pt","Mon Res","Restor","Sewer","Stormw","Wastew","Other","Fed Cash","Federal In Kind","State Cash","State In Kind","Local Cash","Local In Kind","Private Cash","Private In Kind","Total Cash","Total In Kind","NEP Comments","HQ Comments","Region Comments","NEP Status","Region","State","NEP Name","HQ Status","Region Status","Role Name","Creation Date","Last Modified"
"39626","2019","Bay Habitat (BH-6)","Tampa Bay Living Shoreline Suitability Model Geographic Expansion","The Fish and Wildlife Research Institute (FWRI) will apply Virginia Institute of Marine Science’s (VIMS) Living Shoreline Suitability Model (LSSM) to approximately 700 linear miles of shoreline within Tampa Bay Estuary Program’s (TBEP) boundary, extending from the western side of the Sunshine Skyway Bridge, northward through “The Narrows” of Indian Rocks Beach, southward to the Manatee Ave. bridge near Holmes Beach, and westward to the shoreward side of Egmont Key.  Staff will use existing GIS thematic data sources to identify current environmental conditions of shoreline segments in the study area, which will then be used as input for the LSSM.","Funding for this project came from the Water Management District that Tampa Bay Estuary applied for. Match is being provided by FWC through a USFWS Sportfish Restoration Grant.","0","0","0","0","0","0","100","0","0","0","0","0","25601","0","0","0","0","0","0","0","25601","(9/26/2019 10:54:30 am) The match is being provided by FWC from a US Fish Wildlife Service Sportfish Restoration grant. Match will be used to provide additional salary $$.","Ron: great project. Which federal source is the in-kind $ from? Also, I see funding source mentioned but not included here. Any reason why or is it included in the TBEP's match entry? Just making sure. Thanks, Vince (9/25/2019 10:02:38 am)","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","03-SEP-2019 01:34PM","26-SEP-2019 11:09AM"
"39323","2019","Water & Sediment Quality (WQ-1)","Linking Pyrodinium Physiology and Behavior to Population Growth and Loss in Nature and Implications for Management.","Project proposes to quantify net growth rates during bloom development of a natural population of Pyrodinium using high resolution sampling that will examine vertical, horizontal, and diel variability. We will leverage findings from FWC projects on growth responses to varying temperatures and irradiances as well as experiments on vertical migration to build robust empirical models of cellular growth and inform monitoring and mitigation projects. The coupling of lab and field studies will advance quantitative predictions of bloom dynamics and provide further critical insight into mechanisms underlying the persistence and re-occurrence of Pyrodinium.","TBEP applied for cash funding for the Tampa Bay Environmental restoration Fund (TBERF) from local partners to fund this project. FWC is providing cash match as required by the grant.","0","0","0","0","0","100","0","0","0","0","0","0","0","94885","0","0","0","0","0","94885","0","I changed it to cash. FWC is contributing their own salary dollars for this project. (9/26/2019 10:42:40 am)","Moved the cash amount from in-kind, per Ron's comments. (9/27/2019 3:24:03 pm)

Hey Ron: is the FWC cash portion captured elsewhere or omitted here for a reason? Thanks, Vince (9/25/2019 4:35:39 pm)","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","23-AUG-2019 11:27AM","26-SEP-2019 11:06AM"
"39625","2019","Invasive Species-2 (IS-2) Support prevention, eradication or management of invasive species in Tampa Bay and its watershed; Bay Habitat-1 (BH-1)  Implement the Tampa Bay Habitat Master Plan.","Waterbird Nesting Habitat Restoration through Invasive Plant Removal from Audubon’s Sunken Island at the Alafia Bank Bird Sanctuary","This is a vegetation habitat restoration project designed to remove nonnative invasive trees that are detrimental to nesting habitats on Sunken Island, the western island of the Richard T. Paul Alafia Bank Bird Sanctuary and to replant the treated areas with native vegetation made up of coastal maritime forest species that will provide nesting substrate for colonial waterbirds. The project will remove invasive trees, specifically leadtree (Leucaena leucocephala) and Brazilian pepper (Schinus terebinthifolius), which have been identified as Category II and I invasive species by the Florida Exotic Pest Plant Council.","This is a TBEP grant from the Southwest Florida Water Management District and Florida Dept. of Transportation to provide funding for TBERF Grants.","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","19000","0","47761","15828","66761","15828","Yes. The funding from SWFWMD and FDOT has already been counted on the funding side directly to us. This is additional funding that the grant recipient procured. I didn't want to count the cash twice. (9/26/2019 11:03:24 am)","Hi Ron: I see references to SFWMD and FL DOT as funders to this project yet I don't see amounts listed. Is it captured elsewhere? Thanks, Vince (9/25/2019 4:48:34 pm)","What is IS-1 under the CCMP Action section.  Also spell out all acronyms in this section. (9/25/2019 10:44:17 am)  IS is retired under 2017 CCMP update.  Replaced with IS-2. (9/25/2019 12:52:58 pm)","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","03-SEP-2019 01:20PM","26-SEP-2019 11:06AM"
"39321","2019","Contaminants of Concern (COC-4) Identify and understand emerging contaminants.","Microplastics in Tampa Bay – Abundance, Distribution, and Ecological Interactions","Building on Tampa Bay Estuary Program's 2017-2018 baseline assessment of microplastic abundance and distribution in Tampa Bay, Eckerd proposes additional two years of monitoring as a sustained time series of observation. Microplastics will be quantified in samples from discrete large volume surface water collections, plankton net tows, sediment grabs, and effluent from local wastewater treatment facilities. We will also quantify microplastics in gut contents of large (manatee) and small (copepod) grazers.  To complement this necessarily coarser-scale effort, we will assess finer-scale variability among samples by conducting periodic short-term intensive water sampling (e.g., 16 discrete water samples over two days at a single location).","TBEP applied for cash funding for the Tampa Bay Environmental restoration Fund (TBERF) from local partners to fund this project. Eckerd College is providing cash and in-kind match as required by the grant.","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","116663","0","116663","The match is a requirement of our grant with Eckerd. However,
we don't have it broken down by cash or in-kind yet because the project is underway. I would say leave it as in-kind since we already have $92,000 of our own cash going into this project. (9/26/2019 10:48:11 am)","Is the cash and in-kind portion combined into this reporting? -Vince (9/25/2019 4:37:24 pm)","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","23-AUG-2019 11:22AM","26-SEP-2019 11:07AM"
"39318","2019","Public Education and Involvement (PE-1), Water & Sediment Quality (WQ-1), Bay Habitat (BH-1)","Coastal Resilience through the Bay Grasses in Classes Program","The Bay Grasses In Classes program is an on-campus wetland nursery program, where students and teachers grow native plants for local restoration projects. The program partners with local restoration partners to engage students, teachers, and the community in projects that restore vulnerable coastal habitats.  Adapting the current program allows Tampa Bay Watch to leverage existing partnerships and outreach opportunities previously established within the schools. The program consists of 21 nurseries at 17 schools across 3 counties and each nursery is capable of contributing 1,500-2,000 plants to a restoration site per year. Juncus roemerianus will be incorporated into the on-campus nurseries to prepare for the anticipated restoration","TBEP received cash funding for this project and grant recipient Tampa Bay Watch is required to provide in-kind match.","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188292","0","188292","-","-","The BGIC program.  Please spell out the acronym.   (9/25/2019 11:19:41 am).  BGIC is Bay Grasses In Classes.  Thank you.  (9/25/2019 12:53:53 pm)","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","23-AUG-2019 10:51AM","25-SEP-2019 12:15PM"
"39247","2019","Water & Sediment Quality (WQ-1), Bay Habitat (BH-1)","St. Pete College STEM Living Shoreline - Pruitt Foundation","The St. Pete College STEM Center Living Shoreline project; an alternative to repairing and/or replacing a seawall and will begin the process of creating a user-friendly interface between the shoreline and the water access areas of Hurricane Hole.  The long-range plan involved creating this interface using best practices that incorporate the needs of the native flora and fauna as well as human use.","The Tampa Bay Estuary Program received a private donation from the Pruitt Foundation to be used for habitat restoration.","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","25000","0","25000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 11:40AM","03-SEP-2019 01:48PM"
"39317","2019","Public Education & Involvement (PE-1), Bay Habitat (BH-1), Water & Sediment Quality (WQ-1)","Specialty License Plate - Bay Mini Grants","Funds used for a community grants program for projects that address bay restoration and education.","Revenue comes directly to the Tampa Bay Estuary Program from the sales of the Tampa Bay Estuary Specialty License Plate which is used for a competitive community grants program for projects addressing CCMP Actions.","7","47","0","0","0","0","46","0","0","0","0","0","0","108873","0","0","0","0","0","108873","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","23-AUG-2019 10:27AM","03-SEP-2019 01:42PM"
"39245","2019","Bay Habitat (BH-1),  Water & Sediment Quality (WQ-1)","2019-2010 Tampa Bay Environmental restoration Fund - Southwest Florida Water Management District (SWFWMD)","Funds used for Tampa Bay Environmental Restoration Fund projects in 2019-2020 for restoration, research and monitoring projects.","Tampa Bay Estuary Program directly applied for and received funding from the Water Management District.","0","0","0","0","0","50","50","0","0","0","0","0","0","350000","0","0","0","0","0","350000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 11:23AM","03-SEP-2019 02:01PM"
"39260","2019","Bay Habitat (BH-1), Water & Sediment Quality (WQ-1), Public Education & Involvement (PE-1)","Bay Mini Grants - The Lure Donation","Funds directed toward the 2019-2020 Bay Mini-Grant cycle to fund a habitat restoration project.","TBEP was given a private donation from a local restaurant to be used to fund a Bay Mini-Grant project.","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","1265","0","1265","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 01:28PM","03-SEP-2019 01:43PM"
"39259","2019","Water & Sediment (WQ-1), Bay Habitat (BH-1)","2019-2020 Tampa Bay Environmental Restoration Fund (TBERF) _ Pinellas County","Annual funding from Pinellas County supports the 2019-2020 Philippe Park Living Shoreline TBERF Project.","TBEP applied for and received a 5-year Interlocal funding Agreement from Pinellas County to provide annual funding for TBERF.","0","0","0","0","0","50","50","0","0","0","0","0","0","0","0","50000","0","0","0","50000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 01:22PM","03-SEP-2019 01:46PM"
"39624","2019","Bay Habitat (BH-1), Water & Sediment Quality (WQ-1)","Monitoring of Restored and Natural Oyster Reefs in Tampa Bay","This project will establish systematic monitoring for oyster restoration projects and natural reefs within Tampa Bay and use information gained to help accelerate development of restored reefs through improved targeting of locations, timing, and selection of appropriate materials.
Implementation of a new oyster restoration project at MacDill Air Force Base will enable BACI (Before, After, Control, Impact) monitoring with a series of nearby well-established restoration projects that will act as additional impact sites.","Tampa Bay Estuary (TBEP) provided TBERF grant cash for this project to match Mosaic cash funds for this Restore Americas Estuaries led project. TBEP is also providing additional workplan match along with Fish and Wildlife and Tampa Bay Watch.","0","0","0","0","0","100","0","0","0","0","0","0","0","0","39457","0","0","25000","8690","25000","48147","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Significant","03-SEP-2019 01:10PM","03-SEP-2019 01:41PM"
"39246","2019","Water & Sediment Quality (WQ-1), Bay Habitat (BH-1)","2019-2020 Tampa Bay Environmental restoration Fund (TBERF) - Hillsborough County","Funds used for Tampa Bay Environmental Restoration Fund projects in 2019-2020 for restoration, research and monitoring projects.","Tampa Bay Estuary Program directly applied for and received funding from Hillsborough County for TBERF.","0","0","0","0","0","50","50","0","0","0","0","0","0","0","0","110000","0","0","0","110000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 11:29AM","03-SEP-2019 01:52PM"
"39239","2019","Water & Sediment Quality (WQ-1), Public Education and Involvement (PE-1), Bay Habitats (BH-1)","2018-2019 EPA Cooperative Agreement and Work Plan","Benthic and Seagrass Monitoring
Technical Support and Data Management
Freshwater Wetland Master Plan Implementation
Expand Habitat Restoration Assessment & Monitoring
Ocean Acidification Monitoring Support
Community Information, Website Update, Publications
State of the Bay Reporting
Give-a-Day Support
Interim Communication Support
Bay Soundings
Social Marketing Campaign to Reduce SSOs","Nine local partners contributed cash match and in-kind to meet the 50/50 match requirement toward the EPA Cooperative Agreement.","57","13","0","0","0","15","15","0","0","0","0","0","0","148972","0","367987","108041","0","0","516959","108041","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 09:35AM","03-SEP-2019 02:06PM"
"39238","2019","Water & Sediment Quality (WQ-1)","Nitrogen Management Consortium - 2022 Reasonable Assurance Update","Contractor will assist the TBEP and Tampa Bay Nitrogen Management Consortium (TBNMC) in a broad range of technical support services required for development of the 2022 Reasonable Assurance (RA) Update. The 2022 RA Update submittal is due to the Florida Department of Environmental Protection (FDEP) by December 31, 2022.","The TBEP is responsible for convening the consortium, collecting the funds, and issuing the contract.","0","0","0","0","33","0","0","0","34","33","0","0","0","25000","0","84000","0","38000","0","147000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 08:42AM","03-SEP-2019 02:07PM"
"39269","2019","Water & Sediment Quality (WQ-1), Bay Habitat (BH-1), Public Education and Involvement (PE-1)","Bay Mini-Grants - Private donation","Funds were used in the 2019-2020 Bay Mini-Grant cycle on a project to be determined.","Tampa Bay Estuary Program received a private donation in honor of a past TBEP Board member to fund a mini-grant.","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","500","0","500","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 02:11PM","03-SEP-2019 01:43PM"
"39258","2019","Water & Sediment Quality (WQ-1)","Flow Monitoring Allen's Creek","The Tampa Bay Estuary Program has contracted with Hydrologic Data Collection (HDC) to maintain and collect data to perform continuous discharge monitoring to compute pollutant loads discharging to the bay from Allen's Creek and Alligator Lake.","Tampa Bay Estuary Program requested and received funding from Pinellas County to support this tidal creek monitoring project.","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","3347","0","0","0","3347","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 01:14PM","03-SEP-2019 01:48PM"
"39244","2019","Water & Sediment Quality (WQ-1), Bay Habitat (BH-1)","2019-2020 Tampa Bay Environmental Restoration Fund (TBERF) - St. Petersburg","Funds will be used for Tampa Bay Environmental Restoration Fund projects in 2019-2020 for restoration, research and monitoring projects.","Tampa Bay Estuary Program received $200,000 in cash from a consent order between the City of St. Petersburg and the Florida Dept of Env Protection to be used for the TBERF.","0","0","0","0","0","50","50","0","0","0","0","0","0","0","0","200000","0","0","0","200000","0","-","-","-","-","Region 4","FL","Tampa Bay Estuary Program","APPROVED","APPROVED","Primary","20-AUG-2019 11:15AM","03-SEP-2019 02:02PM"
